,cuid,pred_convert_30
525,107225,0
526,107258,0
527,107284,0
528,107359,0
529,107369,0
530,534708,1
531,534709,0
532,107513,0
533,107516,0
534,534716,0
535,107604,0
536,107662,0
537,107664,0
538,107688,0
539,107739,0
540,107782,0
541,107816,0
542,107912,0
543,107963,1
544,108061,0
545,534763,0
546,534764,1
547,108187,0
548,534770,0
549,108310,0
550,108316,0
551,108475,0
552,108493,0
553,108548,1
554,108578,0
555,108590,0
556,108652,0
557,108719,0
558,108746,0
559,534814,0
560,108921,0
561,108945,1
562,108972,0
563,534832,0
564,109105,0
565,109124,0
566,109128,0
567,109138,0
568,109172,0
569,109222,0
570,534852,0
571,109231,0
572,109252,0
573,109330,0
574,109369,1
575,183042,0
576,183180,0
577,183205,0
578,183256,0
579,183581,0
580,183617,0
581,534901,0
582,534906,0
583,184011,1
584,184013,1
585,184313,0
586,184353,0
587,184372,0
588,184382,0
589,184392,0
590,184455,0
591,184472,0
592,184473,0
593,184482,0
594,534935,0
595,534981,0
596,184562,0
597,184615,0
598,184637,0
599,184643,0
600,535010,0
601,184736,0
602,184755,0
603,33154,1
604,33208,0
605,33239,1
606,33253,0
607,535049,0
608,535050,0
609,535051,0
610,33435,0
611,33443,1
612,535072,0
613,33663,0
614,33728,1
615,33872,0
616,33875,0
617,535099,0
618,33950,0
619,34163,0
620,34193,0
621,535132,0
622,34265,0
623,34318,0
624,34319,0
625,34343,0
626,34463,0
627,535157,0
628,34506,0
629,535164,0
630,34528,0
631,535166,1
632,34574,0
633,535174,0
634,34629,0
635,34700,0
636,535190,0
637,535195,0
638,535197,0
639,34818,0
640,34833,0
641,34844,0
642,34949,0
643,35146,0
644,35163,0
645,35270,1
646,35297,0
647,35331,0
648,35394,0
649,35414,0
650,35416,0
651,35469,0
652,535269,0
653,35535,0
654,35570,0
655,35605,0
656,35639,0
657,35658,1
658,535286,0
659,109497,1
660,535300,0
661,109522,0
662,109536,0
663,109608,0
664,535311,0
665,535312,1
666,109651,0
667,109664,0
668,535336,0
669,109906,0
670,535343,0
671,109941,0
672,535348,0
673,110031,0
674,535357,1
675,535362,1
676,110128,0
677,110137,0
678,535370,0
679,535376,1
680,110247,0
681,110319,0
682,535399,0
683,110344,0
684,110375,0
685,535405,0
686,535409,0
687,110418,0
688,535411,0
689,535413,0
690,110501,0
691,535422,0
692,110530,0
693,110552,0
694,110603,0
695,110611,1
696,110618,1
697,535433,0
698,535439,1
699,110705,0
700,535451,0
701,110804,0
702,110862,0
703,110875,0
704,110915,0
705,110932,0
706,110935,0
707,110966,0
708,110993,0
709,535484,0
710,535497,0
711,111370,0
712,535512,0
713,535515,1
714,111439,0
715,111447,0
716,111472,0
717,111493,0
718,111581,0
719,111773,0
720,111845,0
721,111863,0
722,111907,0
723,535548,0
724,111936,0
725,112033,1
726,112053,0
727,112055,1
728,185758,0
729,185782,1
730,535579,0
731,186210,1
732,186277,0
733,186314,0
734,535597,0
735,186543,0
736,186588,0
737,186717,0
738,186745,0
739,187090,0
740,187092,0
741,187111,0
742,187129,0
743,187137,0
744,187161,0
745,535622,0
746,187180,0
747,535642,0
748,535664,0
749,535691,0
750,187203,1
751,187230,0
752,187234,0
753,535703,0
754,187420,0
755,535716,0
756,35802,0
757,35875,0
758,35957,0
759,35976,0
760,35984,1
761,535745,1
762,36054,0
763,36066,1
764,36087,1
765,36127,0
766,535769,0
767,535770,0
768,36244,0
769,36250,0
770,36253,0
771,36303,0
772,36375,0
773,36391,0
774,535792,0
775,36460,0
776,36462,0
777,36480,0
778,36666,0
779,36718,0
780,36724,0
781,535824,0
782,36781,0
783,36905,0
784,36937,1
785,37059,0
786,37193,0
787,535866,0
788,37246,1
789,535870,1
790,37306,0
791,37325,0
792,37328,0
793,37339,0
794,37350,0
795,37372,0
796,37452,0
797,37539,1
798,37620,0
799,535907,0
800,37730,0
801,535911,0
802,37775,0
803,37795,0
804,37819,0
805,37844,0
806,37897,0
807,37975,0
808,38036,0
809,535968,1
810,38366,0
811,38392,1
812,38423,0
813,112117,0
814,112167,0
815,112223,1
816,112297,0
817,535997,0
818,112311,0
819,536001,0
820,112363,0
821,112380,0
822,112439,1
823,536031,0
824,112614,0
825,112648,0
826,112752,0
827,112821,0
828,112846,0
829,536049,1
830,112917,0
831,112918,0
832,112953,0
833,113015,0
834,536077,0
835,113161,0
836,113206,1
837,113217,0
838,113219,0
839,536091,0
840,113308,0
841,113311,0
842,113395,0
843,536108,0
844,113461,0
845,536115,0
846,113528,0
847,113637,1
848,113671,0
849,536130,0
850,113727,0
851,113777,0
852,536141,0
853,536145,0
854,113822,1
855,113827,0
856,113921,1
857,536164,0
858,536171,0
859,114085,0
860,114093,1
861,114124,0
862,114174,0
863,114178,1
864,114197,0
865,536192,0
866,114302,0
867,114395,0
868,536201,0
869,536213,0
870,114592,0
871,536218,0
872,114645,1
873,114647,0
874,114670,0
875,114782,0
876,536240,1
877,188615,0
878,536256,0
879,188721,0
880,188745,0
881,189038,0
882,189216,0
883,189756,0
884,189974,0
885,190020,0
886,190029,0
887,536293,0
888,190045,0
889,190063,0
890,190066,0
891,190095,0
892,190133,0
893,536323,0
894,536344,0
895,190168,0
896,190177,0
897,536380,1
898,41172,0
899,41192,0
900,41198,0
901,41251,0
902,536397,0
903,41330,0
904,41453,0
905,41470,0
906,41500,0
907,41542,0
908,536420,0
909,41580,0
910,41621,0
911,41727,0
912,41829,0
913,536472,0
914,42040,0
915,42107,0
916,42110,0
917,42138,0
918,42141,0
919,42180,0
920,536492,0
921,42189,0
922,42233,0
923,42370,0
924,42412,0
925,42455,0
926,536524,0
927,42567,0
928,536529,1
929,42634,0
930,42648,0
931,42668,0
932,42673,0
933,42677,1
934,536546,0
935,42792,0
936,42849,0
937,42887,0
938,42899,1
939,536569,0
940,43050,0
941,43083,0
942,536575,0
943,43220,0
944,43275,1
945,43333,0
946,43414,0
947,43490,0
948,536608,0
949,536619,0
950,43622,0
951,43629,0
952,43681,1
953,43696,0
954,43771,1
955,43773,1
956,43811,0
957,43834,0
958,117534,0
959,117552,0
960,117653,0
961,117717,1
962,117772,0
963,117828,0
964,117833,0
965,536670,0
966,117862,0
967,117919,0
968,117920,1
969,536682,0
970,536689,0
971,118042,0
972,118175,0
973,118188,0
974,536709,0
975,118293,0
976,118320,0
977,118329,0
978,118429,1
979,118450,0
980,118499,0
981,118584,0
982,118600,1
983,118659,0
984,118663,0
985,118697,0
986,118723,0
987,536761,0
988,536764,0
989,118904,0
990,118930,0
991,119050,0
992,119080,0
993,119187,0
994,119198,0
995,119212,0
996,119214,0
997,119262,1
998,536828,0
999,119435,1
1000,536843,0
1001,119684,0
1002,119802,0
1003,536870,0
1004,119858,0
1005,119884,0
1006,119984,0
1007,120006,0
1008,120041,0
1009,120071,0
1010,120077,0
1011,120207,0
1012,536913,0
1013,536920,0
1014,536921,0
1015,536925,0
1016,194055,0
1017,194113,0
1018,194156,0
1019,536937,0
1020,194315,0
1021,194351,0
1022,536942,1
1023,194385,0
1024,194980,0
1025,195171,0
1026,536970,0
1027,195240,0
1028,195252,0
1029,195254,1
1030,195263,0
1031,195295,0
1032,195360,0
1033,195366,0
1034,195379,1
1035,195385,0
1036,537008,0
1037,195397,0
1038,537036,0
1039,195421,0
1040,195448,0
1041,49275,0
1042,49305,0
1043,49376,0
1044,537059,0
1045,537064,1
1046,49633,0
1047,49651,0
1048,49751,0
1049,537083,0
1050,49763,0
1051,49907,0
1052,49940,1
1053,537105,0
1054,49973,0
1055,49978,1
1056,50063,0
1057,50105,0
1058,50110,0
1059,50178,0
1060,537133,0
1061,50286,0
1062,50335,0
1063,50362,0
1064,537150,0
1065,537154,0
1066,50526,0
1067,50618,0
1068,537182,1
1069,537183,0
1070,50669,0
1071,50770,0
1072,50782,0
1073,50808,0
1074,537205,1
1075,537206,0
1076,50881,1
1077,50906,0
1078,50988,0
1079,537221,0
1080,51012,0
1081,51111,0
1082,537232,0
1083,51138,1
1084,51187,1
1085,51240,0
1086,51261,0
1087,51309,0
1088,51326,0
1089,51338,1
1090,537252,0
1091,51424,0
1092,51498,0
1093,537271,0
1094,537279,0
1095,51668,0
1096,537288,0
1097,51707,0
1098,51737,0
1099,51801,0
1100,51868,1
1101,51932,0
1102,537327,1
1103,537328,1
1104,125827,0
1105,125884,0
1106,537357,0
1107,126044,0
1108,126098,0
1109,126285,0
1110,126311,0
1111,126345,0
1112,126348,1
1113,126380,0
1114,126412,0
1115,126433,0
1116,537410,0
1117,126561,0
1118,126582,0
1119,126584,0
1120,126606,0
1121,537431,1
1122,126695,0
1123,537441,1
1124,126771,0
1125,126789,0
1126,126790,0
1127,126795,0
1128,537445,0
1129,126893,0
1130,537467,0
1131,537469,0
1132,127101,0
1133,537482,0
1134,127159,0
1135,127172,0
1136,537493,0
1137,537502,0
1138,127280,0
1139,127326,0
1140,127330,0
1141,127377,0
1142,127392,0
1143,127397,1
1144,537512,0
1145,537518,0
1146,537521,0
1147,537527,0
1148,127622,0
1149,127745,0
1150,537543,0
1151,127793,0
1152,127800,0
1153,127814,0
1154,127825,0
1155,127859,0
1156,127871,0
1157,127897,0
1158,127967,0
1159,537566,0
1160,537571,0
1161,128029,0
1162,128139,0
1163,128207,0
1164,537589,0
1165,128216,0
1166,128265,0
1167,537598,0
1168,128272,0
1169,128281,0
1170,128324,0
1171,202010,1
1172,202062,0
1173,202136,0
1174,202169,0
1175,202283,0
1176,202517,0
1177,203028,0
1178,517778,0
1179,203413,0
1180,203421,0
1181,203448,0
1182,203486,0
1183,203507,0
1184,537663,0
1185,537696,0
1186,537700,0
1187,537742,0
1188,537744,0
1189,537748,0
1190,537761,0
1191,152,0
1192,222,0
1193,290,0
1194,341,0
1195,395,0
1196,537808,0
1197,555,0
1198,537813,0
1199,719,0
1200,738,1
1201,763,0
1202,537830,0
1203,779,0
1204,864,0
1205,925,0
1206,1071,0
1207,1100,0
1208,1113,0
1209,1172,0
1210,1307,0
1211,1337,0
1212,1354,0
1213,537906,0
1214,1399,0
1215,1423,0
1216,1430,0
1217,1488,1
1218,1513,0
1219,537914,0
1220,1604,0
1221,1622,0
1222,1662,0
1223,537925,0
1224,1823,0
1225,1990,0
1226,2013,0
1227,2174,0
1228,2195,0
1229,537981,0
1230,2343,0
1231,537993,0
1232,2513,0
1233,2526,0
1234,2558,1
1235,2626,1
1236,2665,0
1237,2667,0
1238,2677,0
1239,2701,0
1240,538025,0
1241,128505,0
1242,538041,0
1243,128609,0
1244,538046,1
1245,128678,0
1246,128688,0
1247,128883,0
1248,129028,0
1249,538090,0
1250,129288,0
1251,129323,0
1252,129462,0
1253,129482,0
1254,129514,0
1255,538125,0
1256,129612,0
1257,129613,0
1258,129631,0
1259,538142,0
1260,129686,0
1261,129718,0
1262,129723,0
1263,129776,0
1264,538153,0
1265,129915,1
1266,129937,0
1267,538177,0
1268,130087,0
1269,130145,0
1270,538193,0
1271,130166,0
1272,130168,0
1273,130189,0
1274,130198,0
1275,130216,1
1276,538207,1
1277,130305,0
1278,130348,0
1279,130406,0
1280,130417,0
1281,130445,0
1282,538244,0
1283,538250,0
1284,538266,0
1285,538280,0
1286,130942,0
1287,130947,0
1288,130955,1
1289,130969,0
1290,204726,0
1291,538302,0
1292,204793,0
1293,204823,0
1294,204955,0
1295,538324,0
1296,205046,0
1297,205060,0
1298,205091,0
1299,205115,0
1300,205165,0
1301,205445,0
1302,205499,0
1303,205667,0
1304,538351,0
1305,205760,0
1306,206062,0
1307,206086,0
1308,206111,0
1309,206112,0
1310,206178,0
1311,206241,0
1312,206260,0
1313,206267,0
1314,206270,0
1315,538373,1
1316,206346,0
1317,206356,0
1318,538430,1
1319,538432,0
1320,54750,0
1321,538434,0
1322,54772,1
1323,54784,0
1324,538439,0
1325,538441,0
1326,54877,0
1327,54961,0
1328,538457,0
1329,55061,0
1330,55113,0
1331,55140,1
1332,55167,0
1333,538473,0
1334,55217,0
1335,538482,0
1336,55312,0
1337,538506,0
1338,55461,0
1339,55490,0
1340,538510,0
1341,55612,1
1342,538532,0
1343,55721,0
1344,55758,0
1345,55760,0
1346,55832,0
1347,56016,0
1348,56026,0
1349,538584,0
1350,56062,0
1351,56092,0
1352,56148,0
1353,538613,0
1354,56303,0
1355,538617,1
1356,56343,1
1357,56349,0
1358,56398,0
1359,538620,0
1360,538623,0
1361,538626,0
1362,56442,0
1363,56462,0
1364,56491,0
1365,56509,0
1366,56517,0
1367,56528,0
1368,56573,0
1369,538644,0
1370,56616,0
1371,56648,1
1372,56710,0
1373,56712,0
1374,538664,0
1375,56858,0
1376,56889,0
1377,56976,0
1378,56985,0
1379,56996,1
1380,57022,0
1381,538688,0
1382,538692,0
1383,57154,0
1384,57161,0
1385,538705,0
1386,57205,1
1387,57299,0
1388,57300,0
1389,57311,0
1390,133833,0
1391,133914,0
1392,134031,0
1393,134040,0
1394,538757,0
1395,134182,0
1396,538775,0
1397,134263,0
1398,134291,0
1399,134304,0
1400,538782,1
1401,134408,0
1402,134426,0
1403,134428,1
1404,134458,0
1405,538800,0
1406,134504,0
1407,134544,0
1408,134625,0
1409,134661,1
1410,134707,0
1411,538824,0
1412,134836,0
1413,538834,0
1414,538837,0
1415,538841,0
1416,134989,0
1417,538860,0
1418,135080,0
1419,135128,0
1420,135225,0
1421,538883,0
1422,135346,0
1423,135472,0
1424,538908,0
1425,135573,0
1426,135585,0
1427,135606,0
1428,538918,0
1429,538919,1
1430,135653,0
1431,135657,0
1432,538932,0
1433,135762,0
1434,538933,0
1435,538941,0
1436,538944,0
1437,136030,0
1438,136070,0
1439,136086,0
1440,136119,1
1441,136128,1
1442,136149,0
1443,136242,0
1444,136244,0
1445,136288,0
1446,538976,0
1447,136305,0
1448,136306,0
1449,538980,0
1450,538981,0
1451,210154,0
1452,210156,0
1453,210243,0
1454,538994,0
1455,210508,0
1456,210580,1
1457,210586,0
1458,210673,0
1459,210709,0
1460,210887,0
1461,211072,1
1462,211398,0
1463,211524,0
1464,211549,0
1465,211594,0
1466,211631,0
1467,211643,0
1468,211645,0
1469,539035,0
1470,539074,0
1471,539084,0
1472,539089,0
1473,211669,0
1474,539096,1
1475,211700,0
1476,57454,0
1477,57724,0
1478,57791,0
1479,539143,0
1480,57840,0
1481,57842,0
1482,57869,0
1483,539150,0
1484,57967,0
1485,539157,0
1486,58023,0
1487,58038,0
1488,58060,0
1489,539167,0
1490,58107,0
1491,58134,0
1492,58195,0
1493,58196,0
1494,539182,0
1495,58316,1
1496,58335,0
1497,58383,1
1498,539195,1
1499,58513,0
1500,58559,0
1501,58572,0
1502,58651,0
1503,58758,1
1504,539248,0
1505,59046,0
1506,59053,0
1507,59261,1
1508,539280,0
1509,59478,0
1510,59516,1
1511,59564,1
1512,59591,0
1513,539320,1
1514,59645,0
1515,59836,0
1516,539344,0
1517,539353,0
1518,59910,0
1519,59918,0
1520,59924,0
1521,59998,0
1522,60101,0
1523,136487,0
1524,136488,0
1525,539381,0
1526,136699,0
1527,136930,0
1528,136951,0
1529,137011,0
1530,137069,0
1531,137072,0
1532,137075,0
1533,137142,0
1534,137202,0
1535,137261,0
1536,539478,0
1537,137611,0
1538,539502,0
1539,137700,0
1540,137712,0
1541,137740,0
1542,137811,0
1543,539529,0
1544,137976,0
1545,138013,0
1546,138047,0
1547,539540,0
1548,138128,0
1549,138158,0
1550,138208,0
1551,138342,0
1552,138346,0
1553,138411,0
1554,138479,0
1555,138640,0
1556,138753,0
1557,138759,0
1558,138941,0
1559,138960,0
1560,138963,0
1561,138966,0
1562,139050,0
1563,139071,0
1564,139083,0
1565,139096,0
1566,139142,0
1567,139177,0
1568,212850,0
1569,539649,0
1570,212903,1
1571,539658,1
1572,212968,0
1573,212971,0
1574,213000,0
1575,213031,0
1576,539667,0
1577,213063,0
1578,213184,1
1579,213378,0
1580,213474,0
1581,213531,0
1582,213716,0
1583,214036,0
1584,214230,0
1585,214245,0
1586,214264,0
1587,539702,0
1588,214316,0
1589,539729,0
1590,539770,0
1591,214377,0
1592,214388,0
1593,214462,0
1594,214468,0
1595,214477,0
1596,60112,1
1597,60171,0
1598,539790,0
1599,60183,0
1600,539798,0
1601,60276,0
1602,60310,1
1603,60397,1
1604,539828,0
1605,60544,0
1606,539848,0
1607,60633,1
1608,60664,0
1609,60694,0
1610,60784,0
1611,539865,0
1612,60904,0
1613,60908,0
1614,60996,0
1615,61000,0
1616,539891,0
1617,61150,0
1618,61161,0
1619,61327,0
1620,61338,0
1621,539919,1
1622,61413,0
1623,61422,0
1624,539923,0
1625,61495,0
1626,61556,1
1627,539946,0
1628,539952,0
1629,61757,0
1630,61759,0
1631,61809,0
1632,61880,0
1633,61890,0
1634,61982,0
1635,62010,0
1636,539989,0
1637,62179,0
1638,62195,0
1639,62224,0
1640,62249,0
1641,62372,1
1642,62506,0
1643,62520,0
1644,62699,0
1645,62739,0
1646,139207,0
1647,139239,0
1648,139284,0
1649,139407,0
1650,540067,0
1651,540071,0
1652,540073,0
1653,139493,0
1654,139554,0
1655,139557,0
1656,540086,0
1657,139701,0
1658,139752,0
1659,139755,0
1660,139837,0
1661,139870,0
1662,139880,0
1663,139916,0
1664,139946,0
1665,139972,0
1666,139986,0
1667,140003,0
1668,540141,0
1669,140140,0
1670,140146,0
1671,140161,0
1672,140183,0
1673,540151,0
1674,540158,0
1675,540160,0
1676,140409,0
1677,140421,0
1678,540178,1
1679,140577,0
1680,140579,0
1681,540200,1
1682,140688,0
1683,540204,0
1684,540213,0
1685,140879,0
1686,140880,0
1687,141004,0
1688,141109,0
1689,141162,0
1690,540255,0
1691,141337,1
1692,141477,1
1693,141542,0
1694,141554,0
1695,141660,0
1696,141664,0
1697,141675,0
1698,540295,1
1699,141866,0
1700,215572,1
1701,215584,0
1702,215659,0
1703,215796,0
1704,215799,0
1705,215818,0
1706,216174,0
1707,216229,0
1708,216237,0
1709,216247,0
1710,540348,0
1711,216316,0
1712,540350,0
1713,216998,0
1714,217075,0
1715,217134,0
1716,217156,0
1717,217169,1
1718,540415,0
1719,540426,0
1720,217203,0
1721,217292,0
1722,217407,0
1723,217415,0
1724,540456,0
1725,540458,0
1726,540460,0
1727,540465,0
1728,65584,0
1729,65607,0
1730,65609,0
1731,65632,0
1732,65688,0
1733,65709,0
1734,65726,0
1735,65732,0
1736,65849,0
1737,65853,0
1738,65854,0
1739,540502,1
1740,65926,0
1741,65942,0
1742,65953,1
1743,66112,0
1744,66144,0
1745,66168,0
1746,66179,0
1747,66191,0
1748,66254,0
1749,66308,0
1750,66447,1
1751,66461,0
1752,66614,0
1753,66653,1
1754,540577,0
1755,66682,0
1756,66723,0
1757,540583,0
1758,66925,1
1759,67023,0
1760,67085,0
1761,67120,0
1762,67172,0
1763,67304,0
1764,67398,0
1765,67469,0
1766,67541,1
1767,67544,0
1768,67554,0
1769,540654,0
1770,540659,0
1771,67692,0
1772,540674,1
1773,67862,1
1774,67885,1
1775,67891,0
1776,68018,0
1777,540697,0
1778,68125,0
1779,68166,0
1780,144751,0
1781,144776,0
1782,540735,1
1783,144867,0
1784,144942,0
1785,145025,0
1786,540757,0
1787,145089,0
1788,540773,0
1789,145205,0
1790,145218,0
1791,145297,0
1792,145335,0
1793,145364,0
1794,145385,0
1795,540801,0
1796,145527,0
1797,540808,1
1798,145659,1
1799,145738,0
1800,145749,0
1801,145834,1
1802,540836,0
1803,145858,0
1804,540838,0
1805,145895,0
1806,145898,0
1807,145913,0
1808,145929,0
1809,540844,0
1810,540846,0
1811,146062,0
1812,146162,0
1813,146235,0
1814,146254,0
1815,540871,0
1816,146283,1
1817,540873,1
1818,540876,0
1819,146316,0
1820,146375,0
1821,146380,0
1822,146397,1
1823,146490,0
1824,146514,0
1825,540900,0
1826,540906,0
1827,146672,0
1828,540916,0
1829,540925,0
1830,146768,0
1831,146810,0
1832,519576,0
1833,540938,0
1834,147064,0
1835,147140,0
1836,147156,0
1837,147189,0
1838,540973,0
1839,147277,0
1840,540986,0
1841,220982,0
1842,540992,0
1843,221029,0
1844,221037,0
1845,221093,0
1846,541004,0
1847,221176,0
1848,221177,0
1849,221188,0
1850,221204,0
1851,221220,0
1852,221294,0
1853,541020,0
1854,221504,1
1855,221572,0
1856,221602,0
1857,221906,0
1858,222441,1
1859,222518,0
1860,222529,0
1861,222531,0
1862,222550,0
1863,222570,0
1864,222657,0
1865,222659,0
1866,541061,0
1867,222661,0
1868,541062,0
1869,541063,0
1870,541078,0
1871,541092,0
1872,73669,0
